,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
kan levens redden,can save lifes,4,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,1,2,0,1,0
kan ontploffen,can explode,17,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
kan pijn doen,can hurt,52,4,4,3,4,4,4,4,4,4,4,4,4,0,4,4,3,3,4,4,4
kan schaden,can harm,10,4,4,3,4,4,4,4,4,4,4,4,4,0,4,3,3,3,4,4,4
kan versierd zijn,can be decorated,8,2,3,1,3,4,3,1,3,2,2,2,3,4,2,3,2,1,2,3,1
kan verwonden,can injure,28,4,4,3,3,4,4,4,4,3,4,4,4,0,4,4,3,4,4,4,4
komt voor in films,occurs in films,41,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,4,3,4,4,3
maakt lawaai,produces noise,22,4,0,0,0,0,4,4,4,0,0,4,4,0,0,0,4,0,3,0,1
moet je op je schouder leggen,has to be put on your shoulder,5,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
staat op een kasteel,can be found on a castle,5,0,1,0,1,1,0,0,3,0,1,0,0,1,1,1,0,1,0,1,1
vernielt,destroys,13,4,3,0,0,0,2,3,4,0,2,2,2,0,1,0,3,0,2,0,0
veroorzaakt een explosie,causes explosion,4,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0
vindt men in een bos,can be found in a forest,4,0,1,0,1,0,0,0,0,1,1,0,0,0,1,4,0,0,1,0,0
voelt ruw aan,feels rough,4,1,2,1,1,1,1,3,2,2,2,1,1,2,2,3,2,4,1,1,3
werd vroeger gebruikt,was used in the past,32,0,3,1,4,4,0,0,2,4,4,0,2,4,3,3,1,3,1,4,4
wordt gebruikt als decoratie,used as decoration,6,0,1,0,1,2,1,0,0,0,0,1,1,3,2,2,0,0,1,3,1
wordt gebruikt als speelgoed,used as a toy,19,0,0,0,3,0,2,0,0,3,0,1,2,1,1,3,1,1,0,1,0
wordt gebruikt bij baseball,used in baseball,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
